,Unnamed: 0_x,log_date,item_id,food_time,food_type,log_time,energy_x,protein_x,carbohydrate_x,lipid_fat_x,item_unit,item_quantity_x,created_by,Unnamed: 0_y,trainer_code,user_code,full_name,gender,birth_date,email_id,phone_number,user_point,password,terms_and_conditions,user_height,user_weight,target_weight,weight_changed_on,height_changed_on,frequently_exercise,food_mostly_eaten_at,cuisine_ids,spent_on_meal,diet_plan,default_diet_plan,medical_condition_ids,allergic_condition_ids,is_profile_completed,profile_image,social_profile_image,user_location,is_active,Unnamed: 0,fdc_id,item_name,ndb_number,upc_number,manufacture,food_category,source,energy_y,protein_y,cholesterol,carbohydrate_y,lipid_fat_y,description,item_quantity_y,is_detail_available,food_type_x,energy,protein,carbohydrate,lipid_fat,item_unit_x,item_quantity,recipe_id,recipe_name,recipeSummary,num_of_serving,serving_size,item_unit_y,recipe_weight,recipe_type_id,recipe_notes,prepare_time,total_carbohydrate,total_protein,total_energy,total_lipid_fat,recipe_image,food_type_y
0,15,2024-01-03,FI100049,1,food_item,10,205.0,24.25,15.29,13.79,gm,173.0,U100068,68,T100068,U100068,Christopher Simmons,male,"time.struct_time(tm_year=2011, tm_mon=9, tm_mday=29, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=272, tm_isdst=-1)",traceysantiago@example.com,692.562.5972x9515,14312,17820,0,72,47,89,0,0,1_3_days,restaurant,449,Less than $5,3,1125,1,3,1,https://placekitten.com/73/579,https://dummyimage.com/215x904,Europe/Zurich,1,49,FI100049,Salad,450049.0,5051379025261.0,"G. T. Japan, Inc.",BBQ & Cheese Sauce,usda,177.0,2.5,25.0,25.31,14.03,Statement left staff surface scene of cause.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,2,2024-01-16,FI100039,1,food_item,6,195.0,4.2,46.5,35.44,1 medium,196.0,U100031,31,T100031,U100031,Crystal Ortiz,female,"time.struct_time(tm_year=1981, tm_mon=9, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=246, tm_isdst=-1)",langjessica@example.com,594.355.0237x72007,10468,43873,0,73,137,72,1000031,1000031,do_not,restaurant,38,$5-$9.99,1,426,1,3,1,https://dummyimage.com/826x751,https://placekitten.com/348/650,America/Mendoza,1,39,FI100039,Chicken Curry,450039.0,5051379015725.0,Fresh & Easy,BBQ & Cheese Sauce,usda,212.0,2.5,25.0,41.01,36.05,Particular politics meet.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,97,2024-01-07,FI100055,1,food_item,2,121.0,15.81,19.07,30.52,1 slice,275.0,U100031,31,T100031,U100031,Crystal Ortiz,female,"time.struct_time(tm_year=1981, tm_mon=9, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=246, tm_isdst=-1)",langjessica@example.com,594.355.0237x72007,10468,43873,0,73,137,72,1000031,1000031,do_not,restaurant,38,$5-$9.99,1,426,1,3,1,https://dummyimage.com/826x751,https://placekitten.com/348/650,America/Mendoza,1,55,FI100055,Caesar Salad,450055.0,5051379019681.0,Fresh & Easy,BBQ & Cheese Sauce,usda,211.0,2.5,0.0,5.22,36.29,Style space hotel impact.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
3,36,2024-01-07,FI100055,1,food_item,15,199.0,0.11,30.66,9.79,ml,155.0,U100067,67,T100067,U100067,Joseph Hines,male,"time.struct_time(tm_year=2021, tm_mon=4, tm_mday=6, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=96, tm_isdst=-1)",haleyjessica@example.org,373.690.9085,21902,69466,1,73,109,65,1000067,1000067,do_not,restaurant,12,Less than $5,3,273,0,3,1,https://picsum.photos/351/360,https://picsum.photos/230/849,America/Dawson,1,55,FI100055,Caesar Salad,450055.0,5051379019681.0,Fresh & Easy,BBQ & Cheese Sauce,usda,211.0,2.5,0.0,5.22,36.29,Style space hotel impact.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
4,5,2024-01-06,FI100065,1,food_item,9,160.0,3.91,6.76,4.21,1 medium,71.0,U100069,69,T100069,U100069,William Jones,male,"time.struct_time(tm_year=2012, tm_mon=11, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=308, tm_isdst=-1)",floresjessica@example.com,176.743.2080,5436,49596,1,71,84,81,1000069,1000069,1_3_days,restaurant,424,Less than $5,2,835,0,3,0,https://placekitten.com/814/504,https://picsum.photos/324/1,Asia/Chungking,1,65,FI100065,Sushi,450065.0,5051379029052.0,Fresh & Easy,Ice Cream & Frozen Yogurt,usda,139.0,2.5,25.0,42.85,11.64,View operation computer Congress tell Mrs him agent.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,52,2024-01-13,FI100065,1,food_item,14,274.0,42.48,12.38,13.47,1 slice,233.0,U100053,53,T100053,U100053,Sarah Molina,female,"time.struct_time(tm_year=1999, tm_mon=5, tm_mday=20, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=140, tm_isdst=-1)",smithrandy@example.org,+1-934-072-7357x9304,17597,17598,0,68,96,76,0,0,1_3_days,home,403,Less than $5,2,11,0,1,1,https://dummyimage.com/582x937,https://picsum.photos/863/377,Etc/GMT+12,1,65,FI100065,Sushi,450065.0,5051379029052.0,Fresh & Easy,Ice Cream & Frozen Yogurt,usda,139.0,2.5,25.0,42.85,11.64,View operation computer Congress tell Mrs him agent.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
6,75,2024-01-20,FI100068,1,food_item,2,275.0,31.86,14.71,44.31,gm,184.0,U100069,69,T100069,U100069,William Jones,male,"time.struct_time(tm_year=2012, tm_mon=11, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=308, tm_isdst=-1)",floresjessica@example.com,176.743.2080,5436,49596,1,71,84,81,1000069,1000069,1_3_days,restaurant,424,Less than $5,2,835,0,3,0,https://placekitten.com/814/504,https://picsum.photos/324/1,Asia/Chungking,1,68,FI100068,Pasta,450068.0,5051379023070.0,Fresh & Easy,BBQ & Cheese Sauce,usda,136.0,0.0,25.0,36.29,37.64,There employee film lay during trade.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,66,2024-01-02,FI100075,1,food_item,11,267.0,34.99,48.42,11.6,1 slice,159.0,U100011,11,T100011,U100011,Denise Donaldson,female,"time.struct_time(tm_year=1965, tm_mon=6, tm_mday=19, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=170, tm_isdst=-1)",woodvalerie@example.com,703-767-2307,16543,24989,0,69,116,101,0,0,do_not,home,330,$5-$9.99,3,1524,1,3,0,https://dummyimage.com/1024x535,https://dummyimage.com/568x48,Antarctica/Mawson,1,75,FI100075,Fruit Smoothie,450075.0,5051379023694.0,Fresh & Easy,BBQ & Cheese Sauce,usda,199.0,2.5,25.0,43.32,20.92,Professional level scene place enjoy relate before.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,67,2024-01-05,FI100047,1,food_item,15,288.0,30.61,37.82,47.99,1 slice,131.0,U100011,11,T100011,U100011,Denise Donaldson,female,"time.struct_time(tm_year=1965, tm_mon=6, tm_mday=19, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=170, tm_isdst=-1)",woodvalerie@example.com,703-767-2307,16543,24989,0,69,116,101,0,0,do_not,home,330,$5-$9.99,3,1524,1,3,0,https://dummyimage.com/1024x535,https://dummyimage.com/568x48,Antarctica/Mawson,1,47,FI100047,Sushi,450047.0,5051379019227.0,Fresh & Easy,BBQ & Cheese Sauce,usda,170.0,2.5,25.0,23.92,21.23,Show ask determine around say bar anyone.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,18,2024-01-17,FI100047,1,food_item,11,273.0,31.05,12.86,46.85,1 slice,9.0,U100047,47,T100047,U100047,Michelle Collins,female,"time.struct_time(tm_year=1915, tm_mon=10, tm_mday=16, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=289, tm_isdst=-1)",lisa87@example.org,2437123926,16830,19675,0,67,79,64,1000047,0,1_3_days,home,390,$5-$9.99,1,338,0,2,0,https://dummyimage.com/407x517,https://placekitten.com/443/860,Atlantic/Cape_Verde,1,47,FI100047,Sushi,450047.0,5051379019227.0,Fresh & Easy,BBQ & Cheese Sauce,usda,170.0,2.5,25.0,23.92,21.23,Show ask determine around say bar anyone.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
